text,여성/가족,남성,성소수자,인종/국적,연령,지역,종교,기타 혐오,악플/욕설,clean
@kdramapiggybank 정의당이 중대재해처벌법 기권햇다고... 멍청이도 아니고..,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.83,0.1
'표를 훔치기 위한 수작'이라니... 정말 어쩌다가 2년만에 이렇게까지 사람이 바닥으로 추락하나요. 그리고 정의당은 '이제는 노동자를 위한 정당이 아니다'라는 비판이 오히려 많고 여초에서는 '트젠 성소수자가 우선이지 여자 우선이 아니다(래디컬 논리)'가 더 먹히는데 어디서 뭘 보신 거예요? https://t.co/M26plDu95c,0.04,0.01,0.55,0.01,0.01,0.01,0.01,0.05,0.14,0.11
"홍석완 전 민주당 안성지역위원장, 정의당 이주현 후보 지지 선언

https://t.co/NgomNhVji5",0.01,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0.05,0.91
"안철수 단일화, 정의당(심상정 장혜영 류호정 강민진) 2030 여성 이재명 지지 모욕, 여성의당 심상정 연대까지 너무 일사불란해서 정신없네 https://t.co/T8Rwet6Ajb",0.11,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.23,0.56
@gug_gimbyeong 정의당 당원들이 노망난 얼척 가만두는 거 보면 다음 총선에서 정의당은 사라질 듯 하다. 정의당 존재감이 먼지도 모르는 얼척.,0.12,0.01,0.01,0.07,0.01,0.01,0.01,0.14,0.49,0.06
"류호정 정의당 의원은 이재명 더불어민주당 대선 후보의 여성 표심 공략을 겨냥해 ""이재명은 자기가 필요할 때 당신을 찾을 뿐""이라고 직격.

류 의원은 페이스북을 통해 ""여초 커뮤니티를 중심으로 민주당 선거 운동이 기상천외한 전술을 펴기 시작했다""며 이같이 밝혔다.
https://t.co/mTd9x0rXUc",0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.86
이번에 정의당 바닥 너무 보이는거 아니냐ㅋㅋ https://t.co/AnDrPnaaX6,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.41,0.39
"그치만… 당장 이번 대선에서 민주당에서 대통령을 못 낼까봐 정의당이 언제 여성정책에 진심이었냐고, 대선 내내 이재명만 여성 공약을 얘기했다고 말하는 건…
그 스노우볼은… 시스젠더 동성애자 여성인 본인이 짊어지고 살아가야 할텐데…ㅋㅋㅋ",0.05,0.01,0.68,0.02,0.01,0.01,0.01,0.03,0.06,0.15
지역혐오 이념혐오 젠더혐오 정치혐오조장하는 국민의힘. 정의당 심판합니다,0.13,0.01,0.19,0.01,0.01,0.09,0.01,0.25,0.21,0.15
@ryuhojeong_twit 정의당은 노동자를 위해서 일하지 않고 노조를 위해서 일하죠. 정의당은 여성을 위해사 일하지 않고 여성학자를 위해서 일하죠. 정의당은 가난한 사람을 위해서 일하지 않고 지역 활동가를 위해서 일하죠. 그래서 허경영보가 지지도가 낮은거임.,0.17,0.0,0.01,0.03,0.01,0.01,0.01,0.04,0.1,0.56
안철수 사기극의 불똥이 정의당으로 튀는 듯,0.03,0.0,0.01,0.06,0.0,0.03,0.01,0.08,0.39,0.13
근데 원래 우리 깔때 없던 &gt;정의당원&lt; 추가된거보면 최근 내 발제 소식까지 알고있는 거 아님?? (그와중에 당원은 아니다만) 맞다면 저것도 지독한 애정인듯,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.85
아니 여성들을 판별력 없이 커뮤니티 따위에 속아 넘어가는 병신을 만들어놓고 뽑아달라하면 어쩌라는거임? 진짜 이번에 정의당 역겨움의 끝을 보여준다 https://t.co/fozPgfMIJx,0.46,0.01,0.02,0.02,0.01,0.02,0.01,0.08,0.4,0.05
"맞다. 심상정은 주류에 나도 껴줘 나도 껴줘 , 선거비 보전하게 표줘, 표줘 하고 있었던 거지, 남은 군소 진보정당은 쳐다보지도 않았던 거다. 정의당이 이번에 살아 남으면 이신세지. https://t.co/s1iTkZ2UJj",0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.15,0.74
"너네나 수작부리지마
가만있으면 반은 간다던데 자꾸 글쓰니까 정떨어지고 다음대선도 정의당은 답없겠구나싶음

윤이나 이준석이나 쳐패지 진짜 오늘 심상정발언도 그렇고 오만정다떨어짐 https://t.co/AnDrPnaaX6",0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.07,0.83,0.06
정의당은 노동자를 위한 정당이 아닌데 심상정이 토론회에서 김용균 청년은 왜 앞세웠니? 2030 여성들 표가 다 니들꺼냐? https://t.co/zhXMwmM9nc,0.25,0.01,0.01,0.02,0.01,0.01,0.0,0.04,0.31,0.34
여성의제를 꼭 정의당이 선점해야 하는 건 아니잖아요. 지금처럼 더 많은 소외 계층의 목소리에 집중하고 민주당이 미처 보지 못하는 사람들의 민의를 가시화시켜주세요. 응원하고 지지합니다.,0.05,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.08,0.85
"난 연대 대상에 심상정의당이 포함되는 건 절대 반대다
심상정, 류호정, 장혜영 등이 사라지고 없는 정의당은 몰라도...
 https://t.co/KFn0xV4zh2",0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.14,0.72
"이래서 심상정이는 변했다는거다. 정의당의 확장을 위해서는 보수당(국짐당)을 몰락 시켜야 한다. 그래야, 더민주당과 경쟁을 할 수 있다.
좀 생각 좀 하면서 당을 꾸려라... https://t.co/9Ux05wpFo4",0.04,0.01,0.01,0.02,0.0,0.01,0.01,0.02,0.2,0.56
"심상정 공약을보면 뭐 평등을 말하는 것 같은데 자세히 보면 경영자와 노동자, 여성과 남성을 교묘하게 갈라치기 한다고 생각했는데 류호정이 당당하게 여성 유권자들의 표를 달라고 한다 노동자에 남성이 포함되었다고 할껀가...
이재명 찍을봐에 심상정 찍는게 낫긴하다.
#심상정 #류호정 #정의당 https://t.co/Bs0bf4zcVP",0.19,0.01,0.01,0.03,0.01,0.01,0.01,0.02,0.09,0.67
정의당 건건이 민주당에 딥태클 걸 때는 하 빡쳤는데 이젠 남의 일이라 걍 웃김ㅋㅋㅋ응 그래 이재명 표 많이 뺏어갘ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.61,0.31
박지현님이 민주당으로 향할 수 있을 때 정의당은 동아제약 성차별 피해자 여성을 공격했다. 민주당이 정의당보다 대단히 낫단 결론이 아님. 여자들 표심이 단순히 여성 후보 내세운 걸로 얼레벌레 잡힐거라 생각한 게 오산이란 얘기임. 그걸 인정하기 싫으니 여성 유권자를 존중하지 못하고,0.5,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.09,0.49
"그러니, 양심이 있다면, 그냥 얌전히 폐당되어라. 아마 이것만이 정의당에게 주어진 유일한 정치 규범일 것이다. 끝",0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.07,0.66,0.09
"솔직히 요즘은 국힘당
만큼 정의당이 싫다
물론 여론조사 오차범위도
안되는 지지율로 허덕이는
정의당 정치인들도 민주당을
국힘당보다 싫어 하겠지만,,, https://t.co/ipkWOpYK3y",0.05,0.0,0.01,0.03,0.01,0.02,0.01,0.04,0.3,0.3
"류호정이 이 또라이의 주적은 이재명 후보냐???!!!
윤바보에게는 말한마디 못하면서...
정의당을 말아먹는 주역 이라는 걸 알아야 할 텐데
 https://t.co/KFn0xV4zh2",0.03,0.01,0.01,0.04,0.0,0.02,0.02,0.07,0.51,0.14
정의당이 여자를 우선하지 않아서 끝내 드러내는 오류들이 저 부분임. 여자보다 '도움이 필요한 남자' 에 더 진심인 게 드러나니까 여자들 표심을 잡지 못하는 것.,0.76,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.08,0.2
"안타깝게도 정의당은 똥 오줌 못 가리는 모난돌 하나가 물을 흐린다. #노회찬 때는 낭만이나 정의라도 있었지.

 #정의당 #류호정 ""민주당, 2030 여성 표 훔치려 수작···속지 말자""
#20대대선 https://t.co/I4Fp8JYCUc",0.18,0.01,0.01,0.02,0.0,0.01,0.01,0.07,0.37,0.17
"류호정 글 인알 계속 보는데 너무 웃기네
""2030여성을 위한 당이라고 할 자격이나 있어? 왜 여성들이 등돌렸는지, 왜 1번 뽑겠다고 마음먹은건지 꼭 생각해보길바람""
ㅋㅋㅋ 정의당 그런 당인 거 이제 알았냐? 지금 여권신장을 위해서랍시고 1번 뽑는다는 게 얼마나 웃기는 일인지 지들만 모르고있고",0.22,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.34,0.26
"파란당 지지자들 진짜 날조 심하다 여초에서 또 교통약자법, 대체공휴일법, 중대재해처벌법 정의당은 반대하거나 불참했다고 도네...",0.04,0.01,0.01,0.01,0.01,0.04,0.01,0.14,0.62,0.09
"이준석이 정의당을 응원하네
좋겠네 좋겠어 심상정이...",0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.11,0.82
"여기서도 2030 여자한테 훈시질이지. 너넨 속고 있는 거야. 민주당이고 정의당이고 지금 외면 받고 있는 이유가 그딴 태도가 재수없어서임. 아 너네가 모르는 뭔가가 있어, 너넨 그냥 당 보고 표나 줘. 이런 태도.",0.24,0.02,0.01,0.01,0.08,0.02,0.0,0.1,0.47,0.07
@Dahat_oUo 9년 전부터 발의하던거 기업 눈치보면서 임기만료폐기되게 만들었지만 아무튼 민주당이 만들고 정의당은 기권함ㅋㅋㅋ https://t.co/9mW96VSYsp,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.25,0.69
@byjLygaofQqeS2Q 동의합니다.복당은 정의당이 ㅇㅋ한 거니까요. 진중권 말고도 다른 문제들도 요새 시끄럽고요..,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.07,0.89
"정의당 내지 류호정은 이런 면에서, 정치 집단으로써 자격을 잃고 폐당되어야 한다. 오로지 자기 혼자 정치 규범을 만들고 다른 사람들에게 주입하면 땡이라고 생각하기 때문이다. 최소한 그런 이유를 다른 사람들에게 알리려는 노력조차 없다. 그냥 이재명 뽑는 여자들을 모욕하면 끝이다.",0.6,0.01,0.01,0.02,0.01,0.03,0.01,0.07,0.22,0.1
니 때문에 못해도 정의당 지지율 10퍼는 깎였을 거ㅋㅋㅋㅋ너 같은 거 비례 준 게 심상정의 가장 큰 실책임ㅋㅋㅋㅋㅋ https://t.co/TY6lkhe07h,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.48,0.4
정의당과 심상정이 이재명 네거티브에 목숨거는 이유 뭔가 했더니 이거였습니까?ㅋㅋㅋㅋㅋ https://t.co/wv2Rkj4tx4 https://t.co/M285TO47Xk,0.01,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.27,0.61
#심상정 #정의당 심보가 참 고약하다. 민주당이 만만해?,0.1,0.01,0.01,0.06,0.0,0.02,0.01,0.06,0.31,0.06
"찢의 공개적 성별 갈라치기 선언으로 
발등에 불 떨어진 정의당

#정의당 #류호정 ""민주당, 2030 여성 표 훔치려 수작···속지 말자""
https://t.co/ccjJUtxZjr",0.6,0.02,0.02,0.02,0.01,0.02,0.01,0.1,0.2,0.11
"정의당이 정작 소수정당 앞에서 갑질한다: 맞음
그런데 그걸 위성정당 사람들이 반성의 말도 하나 없이 입에 올린다: 꺼져 https://t.co/3WsbwVgAgx",0.04,0.01,0.01,0.04,0.01,0.01,0.01,0.05,0.58,0.09
"19대 대선 당시 정의당은 다음에 뽑으라던 우상호(당시 민주당 원내대표, 현 총괄선대위원장, 박원순의 후계자)는 얼마 전 인터뷰에서 심상정은 왜 토론 때 이재명 공격하냐 이러고 있네... 상호야~ 양심 없다~",0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.02,0.55,0.3
"이런 당연한 사실, “우리는 여러 사람이며 다양하다”를 정의당에서 인정하지 않으니 맛나간 확고한 규범이나 주장하게 되는 것이고, 여성들이 이재명을 지지하니 이렇게 류호정처럼 “너네들이 수작질 당한 거야”라고 말할 수 있는 것이다. 이는, 다른 여성들이 류호정 자신하곤 다른",0.13,0.01,0.02,0.02,0.0,0.01,0.01,0.02,0.15,0.57
"오빠가 인정한 페미니즘이야?ㅋㅋㅋㅋㅋ
진짜 정의당 다신 여성인권이니 페미니즘이니 언급 안해줬음 좋겠닼ㅋㅋㅋㅋㅋ 너무 빡치니까 웃음만 나넼ㅋㅋㅋㅋㅋㅋ https://t.co/JmE2xQxEQ0",0.56,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.21,0.16
"@ryuhojeong_twit 항상 타이밍을 모르는 류호정 의원님, 안철수와 윤석열이 단일화 한 이마당에 중도 여성들 표가 이재명으로 가게되는걸 그냥 생각없는 선동에 당한 결과인 것 처럼 밑밥 깔지 마세요. 정의당이 그동안 여성문제에 대해 얼마나 적극적으로 다른 두 정당보다 압도적 대변을 했는지 양심에 물어보십쇼.",0.07,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.35,0.47
정의당이 소위 휴머니즘 하는 당인거 모르고 지지하는 사람이 있습니까? 모든 소수자 중 하나로 여성도 포옹하는거 알아요. 정의당이 여성을 버리는 당이라는 전술에 속은게 아니라 국힘 후보 당선을 막을 대안이 민주당뿐이고 박지현님 믿고 가는겁니다.. https://t.co/Qm3363hsxA,0.43,0.01,0.07,0.01,0.01,0.01,0.01,0.13,0.13,0.24
"우리가 확고한 정치 규범을 낼 수 없는 것, 이는, 우리는 본질적으로 “다수”지 “혼자”가 아니라서 그렇다. 우리는 여러명이다. 정의당이 생각하는 것처럼 우리는 한 사람으로 이루어져 있지 않다. 정의당 생각관 다르게, 우리는 모두 각자의 독립적인 생각을 가지고 있고, 독립적인 가치를 지니고 있다",0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.07,0.9
@sangjungsim 정신좀 차려요 대선 넘어가면 정의당은 좋아 질거 같아요 국민들은 편안할거 같아요,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.58,0.3
맨날 누더기법 만들어놓고 정의당은 완벽한 법안 아니면 안받는다 쯧쯧 이러는데 이미 누더기화 된 법을 너네가 신경써서 다시 보완해주겠냐고…. 이미 최선을 다해 만든 법안을 너네가 다 잘라먹었는데. 안자르고 통과시키면 되잖아…..,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.77,0.08
전보다 여성의제에 천착한단 인상을 주진 못했습니다. 윤석열이 안티페미로 갈라치기를 시도할 때 의원님을 비롯해 정의당에서도 분명한 목소리를 냈지만 이재명 후보만큼 주목을 받지 못했습니다. 구도의 문제가 크지만 보다 많은 소외 계층에 집중한 당 전략에 기인한 문제도 있었을 겁니다.,0.09,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.08,0.83
"이제는 진짜 화가 나네요 그래도 공당의 국회의원이라는 사람들이 한두 분도 아니고 어떻게 이런식으로 계속 발언을 합니까 진짜 분통이 터져요 표도 안 줄 거고 지갑도 닫을 겁니다 정의당에게 표, 후원금, 마음이 가지 않는 것은 그 무슨 ""전술"" 같은 데에 속은 게 아니고요, 정의당의 실책입니다",0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.54,0.27
뭐.. 정의당 지금 상황에선 호소할 수 밖에 없지 않나..  그대들의 kibun을 위해 1번과 단일화라도 하길 바라는 거니... 걔네도 표 챙기고 앞으로 살아가려면 뭐라도 해야하는데... 어차피 판단은 스스로의 몫이고 .. 그럼에도 불구하고  더 맞다고 판단되는거 선택하면 되는거지..,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.74
@HeeMangByeol @LVLZ_K_ 형 이석기 무리가 왜 정의당에 있어요 ㅋㅋㅋㅋㅋ 걍 쟤네는 심장류가 장악해서 맛탱이 간거임,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.03,0.6,0.27
"그냥, 여성들은 정의당식 정신조종 내지 메세지 정치에 질리고 “진짜” 정치를 찾기 시작한 것, 그 뿐이다. 류호정 생각마냥 여성들이 더민주의 수작질에 걸려서가 아니다. 목 말라하는 사람에겐 진짜 물을 마시게 해야 한다. “넌 이제 목 안 마르다”라고 최면을 거는 건 안 된다.",0.49,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.32
류호정 글 인알 보니까 참 감개가 무량하다ㅋㅋㅋ 지금 인알로 머리채 잡으면서 여성인권을 위해선 정의당이 아니라 이재명!! 이러고 있는 저 인간들 중에 전엔 류호정의 그 쓸데없는 쇼에 무조건 환호하는 인간들 존나 많았다에 내일 아침을 걸겠음ㅋㅋ,0.19,0.01,0.01,0.02,0.0,0.01,0.01,0.04,0.45,0.26
쟤 아직도 정의당이니??,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.62,0.25
"무슨 맡겨둔 표 찾으러왔다 강도질 당한것처럼 이러는걸, 일개 지지자도 아니고 의원씩이나 되는 사람이 한다. 제 표 정의당 표 아닙니다. 제가 선택할 표고요. 저는 전략투표가 낫다고 생각했고, 박지현 위원장님을 영입하고 여성공약을 내놓는 행동이 훨씬 여성인 저에게 진정성있었거든요.",0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.61
민주당이 잘못했구먼. 이제 정의당은 노동자를 위한 정당도 아니잖은가. https://t.co/Hfu2DIWNFQ,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.24,0.59
정의당이랑 심후보 욕하지마ㅡㅡ... 그럼 대선후보에 여자라곤 진보당 한명밖에 안보이는 사회를 원했니? 윤후보가 여가부 폐지 발언 하나 했다고 뜨는 시점에서 여성대통령후보를 꾸준히 앞세워서 선거참여를 진행하는 것만으로도 정의당이 얼마나 많은걸 하고있는지 아냐...,0.32,0.01,0.02,0.02,0.01,0.01,0.01,0.03,0.13,0.49
"저기요 ㅋㅋ 2030여성유권자들한테 표맡겨놓으셨어요? 젊은 여성들이 어떤 심정으로 이재명을 뽑는지 그 이유를 안다면 비난의 화살은 여성혐오 공약을 내놓는 후보에게 가야할텐데 왜 젊은 여성들에게 죄책감을 안겨주십니까?
앞으로 죽었다 깨어나도 정의당에 내 소중한 한표 줄일은 없을것 같네요 https://t.co/voq8hl87wE",0.36,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.23,0.33
훔쳤다니 2030 여자한테 표 맡겨두셨나. 가스라이팅 작작하세요. 진짜 여자를 위했다면 민주당이 아니라 국힘 저격해서 표 뺐어왔겠죠. 여초에서 선동당한게 아니라 여자로서 살기위해서 민주당 뽑는겁니다. 오늘 다시한번 정의당은 여자를 위한 당이 아닌걸 알았네요. https://t.co/gE3igT2mty,0.37,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.46,0.2
[여론조사] 방송3사 여론조사 이 37.1 윤 42.1..5%p 격차 | 다음 뉴스 https://t.co/2kG4SKN87N 정의당은 대선후에 파산할듯,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.17,0.74
"표 맡겨두셨나요. 여성표는 정의당 표도 민주당 표도 아니고요. 당연히 '우리한테 왔을' 여성표를 민주당이 뺏어갔다, 어쩔수없이 저쪽으로 몰렸다고 생각하시는데 당연히 정의당한테 갈 표 아니고 제가 선택하고 여성들이 선택할 표입니다. 그리고 지지율 떨어지는것도 본인들 책임이시고요.. https://t.co/1ktnWLgRAs",0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.19,0.67
"무려 정의당 여성의원 입에서 ‘여성 유권자들의 표를 훔치기 위한’이라는 표현이 나오다니, 믿을 수 없습니다.
그동안 정의당은 누구의 훔쳤습니까? 아니, 제대로 훔치기나 했습니까? https://t.co/JK5sGTjWc2",0.22,0.01,0.01,0.01,0.0,0.01,0.01,0.03,0.22,0.36
나도 이재명 뽑을거지만 지금 정의당 조롱하는 인간들도 그동안 여성인권에 크게 관심 없이 외면하고 살아놓고 갑자기 주류뽕맞아서 원래부터 활동하던 사람들 조롱하는거 진심 웃기고 짜증남 느그들보단 한거많아.. ㅋㅋ,0.16,0.01,0.02,0.02,0.01,0.01,0.01,0.06,0.68,0.14
뭐 사적으로 속 시끄럽지만 토요일 사전투표 참여할 생각 중인데 정의당을 비롯한 소수정당 조롱하는 분들 참기는 힘들다 심상정 후보의 모든 것을 찬성하는 거는 아니다만 종교스타일 사기꾼도 후보도 토론도 나오는 마당에...,0.01,0.0,0.02,0.02,0.0,0.03,0.24,0.07,0.13,0.2
"정의당 표 뺏을 생각말고-표 뺏는 게 애당초 말이 되는지는 둘째치고- 항문파나 단속하라는데, 윤이 정치보복의도를 숨기지도 않아 통이 대놓고 화를 내는데도 윤 찍으라는 시그널이라 주장하는, 상식적 사고가 불가능한 사람들을 설득하는 게 가능하다는 건지?? 비아냥인 걸 몰라서 묻는 건 아니고요",0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.45,0.45
재수없게 굴어서 표 잃는건 트민남들이나 하는짓인데 그짓을 정의당에서도 하면 어쩌란거냐,0.1,0.34,0.29,0.14,0.01,0.01,0.0,0.04,0.08,0.03
뭐 어떻게 조사해야 0인데? 한순간에 사라진 정의당 청년당원들 https://t.co/0H1w30cwv2,0.03,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.29,0.53
@kkhland 정의당대표!심상정은 들의시오 정의당을 몇번을 망하고.쪽빡차  게 만들어야 속이 후련 하곘오??~~이정희 전대표가 훨씬나앗어 요!! 정의당을 망하고  쪽박차게 한것은 당신 의 욕심과 허영때문 이였오??나는 그대의 행적을잘알지만.말하 지않겠오 이제그 허영 심과.과욕을 내려놓고 조용히 협조하시오,0.04,0.01,0.01,0.02,0.0,0.01,0.01,0.02,0.34,0.34
"정의당이 정치적 요단강 너머로 가지 않으려면, 연립정권, 통합정부로 국정 책임지는 연립여당 되는 대안도 있다. 하지만 진보주의 선명성 내세우다 보수의 진보 표 갈라치기에 이용당하는 포지션으로 전락.",0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.28,0.54
"물론 당이 망하면 의원도 망하는 구조인 건 알고 있지만 ?망하진말고 제발 진중권 좀 쫓아내거라..  민주당버리고6석당 키우기보다 민주당고쳐써야하는거랑 마찬가지로 정의당망하고다른진보정당커지는것보다 정의당고쳐쓰는게 빠르겠지라고생각함..
근데 진중권 등등 요즘 행보생각하면..",0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.05,0.67,0.11
"편이고 동시에 의원 개인을 선해하는 편이다.. 아 당론인데 어쩌겠어? 어쨌든 
정의당에 표는 안 주지만 의원한테 개인후원금은 보내는 이유도 그거임..",0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.89
"사실 나는..정의당은 당론이 양비론인거 같아서 (그전엔 민주당도 까야지 정의당 아니면 누가 까냐 싶었는데 길 정도였는데 진중권 복당 후엔 급격히 심각해짐.)
정의당 논평같은 거 낼 때 민주당까는부분은 아 저부분은 당론이니까 저렇게 썼겠구나 하고 자체 필터하고 볼정도로 내가 민주당에 유한",0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.09,0.87
아 좆간들 정의당 까는거 존나짜증나네 시발 이새끼들은 왤케 중간이없어? 류호정이 빡칠만하지;; 여초에서 정의당 여성을위한당 아니라고 주장하는 근거가 정의당은 트젠조선족챙긴다 그니까 여성인권팔아먹는당이다 이건데 ㅅㅂ 그럼 빡치지 안빡치냐? https://t.co/xCuPM1OaOe,0.06,0.04,0.58,0.11,0.02,0.01,0.01,0.12,0.21,0.01
"표를 훔친다....

진짜 정의당 선거 일주일 남으니 저열해지다못해 저렴해지는구나... https://t.co/kZYSU16g5A",0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.56,0.26
"@ryuhojeong_twit 이준석대표같은분하고 싸워주세요!
정말 성인지 감수성이 바닥인 사람말입니다
성접대의혹도 메스컴에 나오든데 말입니다!
그리고 법피아들의 기득권을 향해 당당하게  노회찬의원님처럼 풍자와 해학으로 싸울때가 그때가 그립습니다
그분의 정신으로  정의당이 가야합니다",0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.22,0.7
"근데 사실 정의당이 트위터에서 (열성지지층 말고고, 저관심층에게) 인기많다는 것도 꽤 착시라고 생각하는데.. 예를 들면 정의당 의원이 페미니즘얘기하거나 국힘의 여혐 비판하는 건 알티와 공감을 많이 받지만.. 정작 정의당 컨텐츠 봐달라고 유튜브 올리면 그런 거 알티수나 조회수는..",0.05,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.09,0.84
"용혜인 의원의 명문. 정치협잡꾼 심상정은 들으라! 
https://t.co/j97SKXAj0Z 

제3지대 외치면서 정의당이외 모든 진보 정당을 개무시하면서 깔아뭉개는 심상정의 뼈를 부셔버리는 명문.",0.06,0.01,0.01,0.03,0.01,0.01,0.01,0.04,0.32,0.36
"다만, 단일화 이전 안 후보의 지지층 가운데 이 후보 지지로 옮겨간 비율이 31.2%로, 윤 후보 지지로 옮겨간 응답자(29.2%)보다 2%포인트 많았다. 안 후보 지지층의 8.5%는 정의당 심상정 후보를 지지하겠다고 답했다. https://t.co/dXFz58D6h3",0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.07,0.9
하여간 나도 주변에 죄다 군소정당맨들이 많았어서 민주당에 관성적 반감 + 변절자가 되는 것 같은 기분 다 거쳐왔지만~ 정의당이 자꾸 이리 나오니 어차피 이럴거면 힘있는 놈이 낫다는 생각을 하게 되어버렷!,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.05,0.43,0.32
"투표 독려하다가 있던 표도 떨어져나갈듯ㅋ 정의당, 민주당 둘 다",0.03,0.0,0.01,0.02,0.01,0.03,0.01,0.02,0.18,0.64
"@ryuhojeong_twit 20 30대 여성 유권자의 표는 당신들 것이 아니에요- 착각하지 마세요. 당신 정의당 들어온 이후로 내 삶이 더 나아졌다고, 도움받았다고 느낀 적 없습니다. 그래서 정의당에 표 안 줍니다.",0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.18,0.71
국당은 불려라도 갔지 불려갈 끕도 안되는 정의당은 오늘도 이렇게 목이 터져라 나도 좀 봐달라고 외치는데 좆같은 한남들만 대꾸해줌 ㅠㅠ https://t.co/idjOmhsZ7i,0.04,0.93,0.02,0.03,0.03,0.02,0.02,0.02,0.07,0.04
"@cheolsoo0919 더이상 당신을 지지하지 않겠습니다. 다당제를 꿈꾸고 국민통합을 윈했으면, 정의당 등 다른 당들과 합했어야 했습니다. 자신의 정치를하지 않고 선거에 진다고 결이 다른 자들과 손을 잡는다? 더이상 당신을 지지하지 않습니다.",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.7
@bsdconjecture 이건 트위터 상의 풍자잖아요. 국짐에 맞대응하는. 류호정과 정의당이 마음에 안 들어도 여영국이 받은 건 진짜 종이 임명장이고 이건 류호정이 트윗으로 반사한 거 아닙니까? 이게 사실이면 전 좋겠어요. 차라리. 국짐에서 이대남 표 떨어지니까.,0.04,0.09,0.02,0.04,0.01,0.02,0.0,0.01,0.08,0.66
"섹스톤 진짜 미친새,기
이 ㅅㄲ는 진짜 무례하네 심상정과 정의당과 여자들을 조롱하고 비꼬는 수준봐라
이런놈이 당대표라니 진짜 너무 빡친다
대놓고 즈그들은 안티페미당이고 여자들 표 필요없다고 공표한 수준인데, 이런데도 윤 찍는다는 여자들은 제정신 아닌거다 ㄹㅇ https://t.co/Ha8bxZdktd",0.72,0.01,0.02,0.03,0.02,0.03,0.02,0.11,0.38,0.03
"니들이 뭔데 정의당에 투표 안 한다고 천차만별 별별이유로 이재명을 지지하는 여성 유권자의 판단을 폄훼하고 GR이야. 소수 원내정당이랍시고 지들이 진보의 모든 가치를 다 안고 있는 줄 알아, 같잖게.",0.07,0.01,0.02,0.02,0.01,0.01,0.01,0.08,0.8,0.05
